dance_id,dance_song_name,dance_artist,dance_song_youtube_id,dance_name,dance_counts,dance_wall_count,dance_starting_foot,dance_instructions_youtube_id,dance_move_sheet_link,dance_author_name,dance_is_special,dance_bpm,dance_duration,user_id
26,Donkey,"Jerrod Niemann ",https://www.youtube.com/watch?v=FsyIcJIy-yM,Donkey,32,2,Left,,,,False,0,0,0
28,"Drink Drank Drunk","Cowboy Troy",https://www.youtube.com/watch?v=GeHfk6vbEBU,"Drink Drank Drunk",32,4,Left,https://www.youtube.com/watch?v=5_S9hfAr4PA,https://www.copperknob.co.uk/stepsheets/king-of-clubs-ID96197.aspx,"Duke Alexander",False,0,0,0
1,"Drink In My Hand","Eric Church",https://www.youtube.com/watch?v=bzk3V6fOL3U,"Drink In My Hand",32,4,Left,https://www.youtube.com/watch?v=w51P1bjnB5g,http://www.copperknob.co.uk/stepsheets/a-drink-in-my-hand-ID84659.aspx,"Sandy Goodman",False,113,191,0
29,"Drinkin' problem",Midland,https://www.youtube.com/watch?v=CxNxEn8gspE,"Drinkin' problem",32,4,Left,https://www.youtube.com/watch?v=PYFqw0NTBq8,https://www.copperknob.co.uk/stepsheets/drinking-problem-ID115710.aspx,"Darren Bailey",False,0,0,0
30,"Electric Slide","Marcia Griffiths",https://www.youtube.com/watch?v=CAYvJ3Ot0dw,"Electric Slide",18,4,Left,"https://www.youtube.com/watch?v=XGx1ebUxMCE ",http://www.copperknob.co.uk/stepsheets/electric-slide-ID77329.aspx,"Ric Silver",False,0,0,0
129,"Every Little Honky Tonk Bar","George Strait",https://www.youtube.com/watch?v=pYw3pI5f8TQ,"Little Honky Tonk Bar",32,4,Left,https://www.youtube.com/watch?v=Oxymqo34g-k,https://www.copperknob.co.uk/stepsheets/little-honky-tonk-bar-ID131390.aspx,"Trevor Thornton",False,0,0,0
156,Everybody,"Chris Janson",https://www.youtube.com/watch?v=6v3SQ7pa4iQ,Everybody,32,4,Left,https://www.youtube.com/watch?v=EfkMUd_gs24,https://www.copperknob.co.uk/stepsheets/everybody-wants-ID122077.aspx,"Stephen Pistoia",False,0,0,0
157,"Everybody (Backstreet's Back)","Backstreet Boys",https://www.youtube.com/watch?v=POq2AznJO1Q,"Everybody (Backstreet's Back)",32,4,Left,https://www.youtube.com/watch?v=wpFB44FA0DE,https://www.copperknob.co.uk/stepsheets/backstreet-attitude-ID63897.aspx,"Jamie Marshall",False,0,0,0
31,"Fake ID","Big & Rich",https://www.youtube.com/watch?v=mpV6F-prQt0,"Fake ID",48,2,Left,https://www.youtube.com/watch?v=aKXhvUBkHk4,https://www.copperknob.co.uk/stepsheets/fake-id-2011-footloose-movie-ID86422.aspx,"Jamal Sims & Dondraico Johnson",False,0,0,0
180,"Fancy Like","Walker Hayes",https://www.youtube.com/watch?v=KQ-XurHfOGM,,32,4,Left,https://www.youtube.com/watch?v=r9ATugh_WWs,https://www.copperknob.co.uk/stepsheets/fancy-like-ID152252.aspx,"Michelle Wright",False,0,0,0
33,Fireball,Pitbull,https://www.youtube.com/watch?v=7ztENhDCmu8,Fireball,32,4,Left,https://www.youtube.com/watch?v=n_MpEIZqhNQ,https://www.copperknob.co.uk/stepsheets/shake-it-ID100727.aspx," Cowboy Ron",False,0,0,0
163,"Fishin' in the Dark","Nitty Gritty Dirt Band",https://www.youtube.com/watch?v=8u7-Ht05v2M,"Slappin' Leather",40,4,Left,https://www.youtube.com/watch?v=aFyOaX5Pr4g,https://www.copperknob.co.uk/stepsheets/slappin-leather-ID109688.aspx,"Gayle Brandon",False,0,0,0
133,Flatliner,"Cole Swindell",https://www.youtube.com/watch?v=x5Lsphz8O6w,Flatliner,32,4,Left,https://www.youtube.com/watch?v=0RqtJfRjvlQ,https://www.copperknob.co.uk/stepsheets/flatliner-ID110940.aspx,"Rob Holley",False,0,0,0
35,Footloose,"Kenny Loggins",https://www.youtube.com/watch?v=BEJSgR8eeCo,Footloose,32,4,Left,https://www.youtube.com/watch?v=bZzmMlMUhOs,https://www.copperknob.co.uk/stepsheets/footloose-ID54532.aspx,"Levi J. Hubbard & Starla Rodgers",False,0,0,0
123,"Get Along","Kenny Chesney",https://www.youtube.com/watch?v=luHhJalHanw,"Get Along",32,4,Left,https://www.youtube.com/watch?v=JTio0rU3r5M,https://www.copperknob.co.uk/stepsheets/get-along-ID124992.aspx,"Marjana Petauer",False,0,0,0
136,"Go On","George Strait",https://www.youtube.com/watch?v=R0M9NzNehuE,Cruisin',32,1,Left,https://www.youtube.com/watch?v=KvGCPfUr0kQ,https://www.copperknob.co.uk/stepsheets/cruisin-ID59086.aspx,"Neil Hale",False,0,0,0
63,"Good as You","Kane Brown",https://www.youtube.com/watch?v=o4NLdEtorKg,"Good as You",32,4,Left,https://www.youtube.com/watch?v=CHSSO3CKhlU,https://www.copperknob.co.uk/stepsheets/good-as-you-ID133901.aspx,"Michele Burton & Michael Barr",False,0,0,0
36,"Good Time","Alan Jackson",https://www.youtube.com/watch?v=PwuG8DLvNI8,"Good Time",48,4,Left,https://www.youtube.com/watch?v=SyjibcFZlQI,http://www.copperknob.co.uk/stepsheets/good-time-ID75643.aspx,"Jenny Cain",False,0,0,0
185,"Good Vibes","Chris Janson",https://www.youtube.com/watch?v=GEPYU8CifUU,"Feeling Those Good Vibes",32,4,Left,https://www.youtube.com/watch?v=4z-FtKlwOEg,https://www.copperknob.co.uk/stepsheets/feeling-those-good-vibes-ID131249.aspx,"Gwen Walker",False,0,0,0
132,"Gotta Good Feelin'","Pigeon John",https://www.youtube.com/watch?v=YiLK0tqhIx0,"Gotta Good Feeling",32,4,Left,https://www.youtube.com/watch?v=KanjLHwzjZg,https://www.copperknob.co.uk/stepsheets/gotta-good-feeling-ID147520.aspx,"Rosie Multari & Bruno Multari",False,0,0,0
37,"Have Fun, Go Mad",Blair,https://www.youtube.com/watch?v=fHqyBUrP5aM,"Have Fun, Go Mad",32,4,Left,https://www.youtube.com/watch?v=sQ72o9KaPdc,https://www.copperknob.co.uk/stepsheets/have-fun-go-mad-ID70804.aspx,"Scott Blevins",False,0,0,0
80,"Have You Ever Seen The Rain","Rod Stewart",https://www.youtube.com/watch?v=pmTiK9jp970,"Have You Ever Seen The Rain",32,4,Left,https://www.youtube.com/watch?v=Ab9DIYwu-xU,https://www.copperknob.co.uk/stepsheets/have-you-ever-seen-the-rain-ID85763.aspx,"Dee Musk",False,0,0,0
79,"Head Over Boots","Jon Pardi",https://www.youtube.com/watch?v=7K0akU-Rdv8,"Head Over Boots",32,2,Left,,,,False,0,0,0
181,"Heartache Medication","Jon Pardi",https://www.youtube.com/watch?v=asTm2nb1bm0,"Heartache Medication",32,4,Left,https://www.youtube.com/watch?v=UbHQLgg1mUg,https://www.copperknob.co.uk/stepsheets/heartache-medication-ID134917.aspx,"Tammy Bosse",False,0,0,0
